timestamp,event_ticker,market_ticker,yes_price,no_price
,KXNFLAFCEAST-25,KXNFLAFCEAST-25-NE,,
,KXNFLAFCEAST-25,KXNFLAFCEAST-25-NYJ,,
,KXUSAF1-25,KXUSAF1-25,,
,KXAFRICAF1-26,KXAFRICAF1-26,,
,KXMLSCUP-25,KXMLSCUP-25-ATL,,
,KXMLSCUP-25,KXMLSCUP-25-ATX,,
,KXMLSCUP-25,KXMLSCUP-25-CLT,,
,KXMLSCUP-25,KXMLSCUP-25-CHI,,
,KXMLSCUP-25,KXMLSCUP-25-COL,,
,KXMLSCUP-25,KXMLSCUP-25-CLB,,
,KXMLSCUP-25,KXMLSCUP-25-DC,,
,KXMLSCUP-25,KXMLSCUP-25-CIN,,
,KXMLSCUP-25,KXMLSCUP-25-DAL,,
,KXMLSCUP-25,KXMLSCUP-25-HOU,,
,KXMLSCUP-25,KXMLSCUP-25-SKC,,
,KXMLSCUP-25,KXMLSCUP-25-LA,,
,KXMLSCUP-25,KXMLSCUP-25-LAFC,,
,KXMLSCUP-25,KXMLSCUP-25-MIA,,
,KXMLSCUP-25,KXMLSCUP-25-MIN,,
,KXMLSCUP-25,KXMLSCUP-25-MTL,,
,KXMLSCUP-25,KXMLSCUP-25-NSH,,
,KXMLSCUP-25,KXMLSCUP-25-NE,,
,KXMLSCUP-25,KXMLSCUP-25-NY,,
,KXMLSCUP-25,KXMLSCUP-25-NYC,,
,KXMLSCUP-25,KXMLSCUP-25-ORL,,
,KXMLSCUP-25,KXMLSCUP-25-PHI,,
,KXMLSCUP-25,KXMLSCUP-25-POR,,
,KXMLSCUP-25,KXMLSCUP-25-RSL,,
,KXMLSCUP-25,KXMLSCUP-25-SJ,,
,KXMLSCUP-25,KXMLSCUP-25-SD,,
,KXMLSCUP-25,KXMLSCUP-25-SEA,,
,KXMLSCUP-25,KXMLSCUP-25-STL,,
,KXMLSCUP-25,KXMLSCUP-25-TOR,,
